EvtUniqueID,OptionID,LocalCode,ExDT,OutturnStyleCD,PaytypeCD,RatioOld,RatioNew,RateValue01,DefaultOptionFlag,SourceFile
202010273249513,2,LNSPF,2023/11/30,ADEX,S,77.25,1,0,F,data/2023-12/e2020_20231207_LST_EVT_3.txt
201010273218413,1,LARK,2023/11/30,ADEX,S,1,0.05,0,T,data/2023-12/e2020_20231204_LST_EVT_2.txt
40179586797,1,BLTHD,2023/12/08,NEWO,S,300,1,0.001,T,data/2023-12/e2020_20231208_LST_EVT_1.txt
40179919328,1,PRAX,2023/11/29,NEWO,S,15,1,0.0001,T,data/2023-12/e2020_20231208_LST_EVT_1.txt
40179937142,1,JG,2023/12/11,NEWO,S,20,1,0,T,data/2023-12/e2020_20231208_LST_EVT_1.txt
40179939343,1,GENE,2023/12/13,NEWO,S,5,1,0,T,data/2023-12/e2020_20231208_LST_EVT_1.txt
40179961475,1,SNCR,2023/12/11,NEWO,S,9,1,0.0001,T,data/2023-12/e2020_20231208_LST_EVT_1.txt
40179962014,1,VEJIF,,NEWO,S,10,1,0,T,data/2023-12/e2020_20231208_LST_EVT_1.txt
40179538587,1,XTCPF,2023/12/05,NEWO,S,200,1,0,T,data/2023-12/e2020_20231205_LST_EVT_0.txt
40179841164,1,TOEYF,2023/12/05,NEWO,S,50,1,0,T,data/2023-12/e2020_20231205_LST_EVT_0.txt
40179865073,1,AWLIF,,NEWO,S,6,1,0,T,data/2023-12/e2020_20231205_LST_EVT_0.txt
40179926699,1,DECPF,2023/12/05,NEWO,S,20,1,0.01,T,data/2023-12/e2020_20231205_LST_EVT_0.txt
40179918126,1,XXMMF,2023/12/04,NEWO,S,5,1,0,T,data/2023-12/e2020_20231201_LST_EVT_3.txt
202010273247317,2,CRWKF,,ADEX,S,0,0,0,F,data/2023-12/e2020_20231201_LST_EVT_3.txt
40179801518,1,OZYMF,,NEWO,S,1000,1,1,T,data/2023-12/e2020_20231204_LST_EVT_0.txt
40179840973,1,LKOLF,2023/12/04,NEWO,S,1000,1,0,T,data/2023-12/e2020_20231204_LST_EVT_0.txt
40179841151,1,,2023/12/04,NEWO,S,10,1,0.02,T,data/2023-12/e2020_20231204_LST_EVT_0.txt
40179841151,1,BNRG,2023/12/04,NEWO,S,10,1,0.02,T,data/2023-12/e2020_20231204_LST_EVT_0.txt
40179801518,1,OZYMF,2023/12/06,NEWO,S,1000,1,1,T,data/2023-12/e2020_20231205_LST_EVT_2.txt
